epoch,loss,step,val_bce_loss,val_dice_loss,val_iou cloud,val_iou land,val_iou water,val_recall cloud,val_recall land,val_recall water
0,2.011962413787842,49,,,,,,,,
0,2.011962413787842,99,,,,,,,,
0,1.5855848789215088,149,,,,,,,,
0,1.5855848789215088,199,,,,,,,,
0,0.7296261191368103,249,,,,,,,,
0,0.7296261191368103,299,,,,,,,,
0,1.0996105670928955,349,,,,,,,,
0,,393,1.5114396810531616,0.6153134107589722,0.19592098891735077,0.8484026193618774,0.5540883541107178,0.43842393159866333,0.936290442943573,0.8655831813812256
1,0.8123315572738647,399,,,,,,,,
1,0.8123315572738647,449,,,,,,,,
1,1.1783702373504639,499,,,,,,,,
1,1.1783702373504639,549,,,,,,,,
1,0.8540912866592407,599,,,,,,,,
1,0.8540912866592407,649,,,,,,,,
1,1.231000542640686,699,,,,,,,,
1,1.231000542640686,749,,,,,,,,
1,,787,1.3630269765853882,0.575567901134491,0.3185662627220154,0.8766369223594666,0.547532320022583,0.5725541710853577,0.921990156173706,0.8546746969223022
2,0.5262633562088013,799,,,,,,,,
2,0.5262633562088013,849,,,,,,,,
2,0.8053123950958252,899,,,,,,,,
2,0.8053123950958252,949,,,,,,,,
2,0.6435520648956299,999,,,,,,,,
2,0.6435520648956299,1049,,,,,,,,
2,0.6626366376876831,1099,,,,,,,,
2,0.6626366376876831,1149,,,,,,,,
2,,1181,1.491114854812622,0.5721965432167053,0.3534590005874634,0.8817554116249084,0.5968539714813232,0.6451566219329834,0.9107754230499268,0.8302233219146729
3,0.5189714431762695,1199,,,,,,,,
3,0.5189714431762695,1249,,,,,,,,
3,0.8279231786727905,1299,,,,,,,,
3,0.8279231786727905,1349,,,,,,,,
3,0.7173981666564941,1399,,,,,,,,
3,0.7173981666564941,1449,,,,,,,,
3,0.7143728733062744,1499,,,,,,,,
3,0.7143728733062744,1549,,,,,,,,
3,,1575,1.4907660484313965,0.5598306655883789,0.2982485890388489,0.893360435962677,0.5647813677787781,0.601952850818634,0.931521475315094,0.829858124256134
